Measured Frequency,Family,Modelled Frequency,n,m
2518.8585000000003,Butterfly(p=0),2518.6584808688576,2,0
5768.121,Butterfly(p=0),5781.640246349779,3,0
10021.471666666666,Butterfly(p=0),10071.862841017384,4,0
10052.15,Butterfly(p=0),10071.862841017384,4,0
15237.705600000001,Butterfly(p=0),15363.51750889442,5,0
15308.73625,First Family (p=1),15363.51750889442,5,1
15322.016,First Family (p=1),15363.51750889442,5,1
21381.031,Butterfly(p=0),21636.42301186629,6,0
21484.593,Butterfly(p=0),21636.42301186629,6,0
22999.29333333333,First Family(p=1),23325.56404378185,3,1
23102.832,First Family(p=1),23325.56404378185,3,1
28418.669,Butterfly(p=0),28875.514300585877,7,0
