Index	Frequency	A_1	A_2	DeltaF	DF_Lower	DF_Upper	Phi_1	Phi_1_Lower	Phi_1_Upper	Phi_2	Phi_2_Lower	Phi_2_Upper	Decay_1	Decay_2	BeatFreq	PhaseShift	ZeroOffset
0	2518.7040	3.4139e-01	1.9054e-02	5.5691e-02	5.5690e-02	5.5692e-02	2.9696e-07	2.9734e-07	2.9657e-07	2.9952e-07	3.0053e-07	2.9851e-07	4.2558e+02	4.2194e+02	0.0557	80.51	3.8518e-06
1	2518.7120	3.2861e-01	1.8314e-02	5.5689e-02	5.5688e-02	5.5690e-02	2.9902e-07	2.9938e-07	2.9865e-07	2.9861e-07	2.9966e-07	2.9756e-07	4.2265e+02	4.2322e+02	0.0557	80.01	7.9384e-07
2	2518.6620	3.9894e-01	2.2204e-02	5.5691e-02	5.5690e-02	5.5692e-02	2.9782e-07	2.9822e-07	2.9742e-07	2.9517e-07	2.9609e-07	2.9425e-07	4.2435e+02	4.2817e+02	0.0557	95.09	5.9502e-05
3	2518.7340	3.8163e-01	2.1267e-02	5.5696e-02	5.5694e-02	5.5697e-02	2.9855e-07	2.9894e-07	2.9816e-07	2.9900e-07	3.0002e-07	2.9797e-07	4.2330e+02	4.2267e+02	0.0557	460.26	-9.5665e-06
4	5768.0010	3.7014e-03	1.1743e-04	9.7310e-03	-inf	inf	2.9027e-07	inf	-inf	3.8268e-07	inf	-inf	1.9012e+02	1.4421e+02	0.0097	420.24	8.8210e-08
5	5768.0800	-5.5419e-03	-1.7931e-04	3.1262e-02	3.1070e-02	3.1454e-02	2.8931e-07	2.8986e-07	2.8875e-07	2.2804e-07	2.9566e-07	1.6043e-07	1.9075e+02	2.4200e+02	0.0313	390.14	1.5261e-05
6	5768.1440	-7.5228e-03	-2.3222e-04	3.1006e-02	3.0771e-02	3.1241e-02	2.9145e-07	2.9204e-07	2.9085e-07	3.5068e-07	4.3246e-07	2.6892e-07	1.8935e+02	1.5736e+02	0.0310	373.76	4.5733e-03
7	10052.1500	-5.7888e-02	-1.7392e-04	2.9710e-03	2.9157e-03	3.0263e-03	3.4305e-07	3.7976e-07	3.0634e-07	2.9269e-07	3.0934e-07	2.7604e-07	9.2307e+01	1.0819e+02	0.0030	-96.34	-8.6805e-03
8	15238.5730	2.2106e-01	1.3573e-02	6.1285e-02	6.1276e-02	6.1293e-02	3.2449e-07	3.2500e-07	3.2397e-07	3.0930e-07	3.1053e-07	3.0807e-07	6.4374e+01	6.7535e+01	0.0613	61.07	3.3240e-03
9	15237.2500	2.4634e-01	1.5154e-02	6.1309e-02	6.1300e-02	6.1319e-02	3.3155e-07	3.3221e-07	3.3088e-07	3.1166e-07	3.1308e-07	3.1025e-07	6.3009e+01	6.7028e+01	0.0613	72.41	-6.6817e-03
